review_text,label,label_encoded
bermanfaat semoga ke depan nya bisa di di tingkat kan lagi pelayanan nya apalagi tentang pengiriman semoga bisa lebih cepat,Positif,2
cukup mudah di untuk di aplikasikan hanya saja terkadang terjadi kendala saat mengoperasikan pengisian data pembayaran,Positif,2
bagus mempermudah pembayaran pajak apalagi untuk yang sibuk tidak ada waktu untuk keluar rumah dokumen bisa dikirim lewat pos,Positif,2
semoga mudah membantu dengan baik,Positif,2
sangat dan tidak peduli ribet jadi samsat,Negatif,0
mudah dan simple,Positif,2
sangat puas untuk pembuatan stnk saya enggak perlu izin kerja apa disini juga bisa blokir kendaraan,Netral,1
sayangnya layanan hanya berlaku di jam pagi sampai seharusnya layanan di aplikasi jam jadi akses lebih cepat kalo siang banyak yang akses kalo seperti ini apa bedanya antri ke samsat saja,Positif,2
yang ada seminggu malah sudah yang dulu sudah tamat good cut dan cepat jadi dan enggak ribet nicee,Negatif,0
itu tidak bisa terus diperbarui semua aplikasi yang buat di di al hadew niat baik,Negatif,0
sangat mempermudah dalam pembayaran stnk tanpa harus libur kerja dulu bahkan stnk nya bisa diantar ke alamat rumah dan tanpa harus mengantri good job,Netral,1
serius dikarenakan awal daftar akun aplikasi ini kenapa bermasalah dan selalu gagal padahal ada sesai foto yang di sarankan loh massa iya hanya karena foto di depan massi muda dan akun selfie terlihat tua jadi gagal membuka daftar atau saat log dia hanya lewat email dan nomor hp yang aktif kecuali saat akan di adakannya transaksi jujur dari artikel ini di aplikasi ini saya jadi [UNK] akan kebocoran data warga negara yang taat pajak,Negatif,0
mau hadir bila harus ribet antri,Negatif,0
coba di perbaiki di permudah di bagian akhir pembayarannya setiap klik pembayaran muter saja kayak gangsing apk tidak bisa membantu sama sekal,Negatif,0
sangat memudahkan dan tak perlu datang dan antri kekantor lagi,Netral,1
memudahkan digunakan,Netral,1
sip,Netral,1
sangat bermanfaat atau sering dikirim ke alamat jadi tenaga dan tenaga atau biaya bravo,Netral,1
aplikasi terbaik mempermudah pembayaran prosesnya gampang dan enggak ribet,Negatif,0
untuk wilayah kab pas agak telat bulan dari transaksi,Netral,1
alhamdulillah praktis dan efisien,Positif,2
thank si memudahkan pembayaran kendaraan pribadi kapanpun tanpa harus ngantre dan keluar rumah,Netral,1
sama saja kalo jatuh tempo tetap suruh ke samsat,Netral,1
cepat bahkan cepat responnya juga yang mudah untuk jajaran kantor untuk membantu masyarakat praktis tidak bisa klik pada perpanjang,Negatif,0
bayar dan lusa sampai untuk pajak tahunan aplikasinya mudah digunakan dan sangat membantu,Positif,2
lebih mudah simpel praktis,Positif,2
pengiriman lumayanlah hari dari jateng ke jambar aku kira enggak bakal di kirim kirim ternyata aku bayar nya di awal sebelum jatuh tempo jadi di proses nya lama saran juga semoga untuk pembayaran via qris lebih mudah bolak balik mencoba pakai qris susah tapi pakai aplikasi yang lain bisa sih cukup membantu dan mudah di mengerti untuk saat ini,Negatif,0
bagus,Positif,2
sangat bermanfaat stnk bisa dikirim ke alamat jadi hemat waktu tenaga dan biaya bravo,Netral,1
sudah kali aman,Netral,1
akun saya baru enggak kok di buka saja,Negatif,0
selalu bintan maks semoga kedepannya juga isa maks apa lag yang tahunan thanks sehat semuanya,Netral,1
sangat membatu cuma belum sampai stnk nya ya,Netral,1
membuat pembayar pajak kendara jadi lebih mudah enggak perlu mengantri di samsat tinggal tunggu saja di rumah sambil ngopi,Positif,2
aplikasinyaa keren ini sudah ke kali yang pertama stnk nya cakep banget sesai kolomnya dengan tulisannya ini yang kedua kali tulisannya tidak sesai dikolomnya ngeprint nya enggak benar naik banget ke atas tulisannya namaku enggak kelihatan karena terlalu keatas tolong kasih aku solusi dong ini dibiarkan saja apa bagaimana enggak enak banget lihat stnknya jadi masalah atau enggak bentuknya begini,Positif,2
proses awal sampai pengiriman sangat cepat,Positif,2
mantap kalo bisa sim juga bisa,Positif,2
1 kara negarif ah dengan problem buatan pemerintah kita benaran negatif kan kan pada daftar saja yg banget error data enggak sesai juga mau nyerah ah,Negatif,0
tidak bisa verifikasi akun,Negatif,0
aplikasi tolol bisa akhirnya dipastikan alasan pembuatan ktp enggak sesai kasus selfie woyy sekarang foto kurusan dan satria muda yg sama sekarang belum,Negatif,0
simply like a cell i,Netral,1
tolong tak mati • fitur telat bayar 3 masa kembali ke waktu sih ribet,Negatif,0
mantap pelayanannya jadi enggak perlu lagi capek mengantri,Positif,2
bermanfaat sama buat hasil sawah,Netral,1
sangat menolong proses seminggu fisik diterima dengan baik,Netral,1
sudah baik tapi pembayaran daerah jakarta mohon agar bisa di bayarkan lewat app e commerce,Netral,1
sangat bagus karena cepat dan tidak mengganggu waktu kita aktifitas tre terima kasih signal,Positif,2
lebih percepat dari itu,Netral,1
layanan mudah dan memuaskan,Positif,2
tolong pak bantu pak setelah membayar via signal dibawah mini code nya dan muncul namun,Netral,1
lama banget minggu baru dikirim mana ongkirnya ribu mahal pakai kilat expres mengira kayak toko oren hari sampai padahal gratis ongkir,Netral,1
sangat memudah kan dan proses juga cepat,Positif,2
penny,Netral,1
sayangnya belum bisa untuk mutasi ke lain provinsi ya,Netral,1
enggak bisa verifikasi muka ktp dan sekarang mesti sudah di angka 100 gagal dengan yang dulu,Negatif,0
cukup baik cuma kadang suka eror semoga lebih baik kedepannya,Netral,1
caroline,Netral,1
lading ya lama,Netral,1
pelayanan mudah dan terpercaya,Positif,2
pengiriman via pos sangat buruk mending di ganti jnt masa alamat di aplikasi ini sudah benar di pos salah besar,Negatif,0
proses sangat mudah dan cepat,Positif,2
sangat membantu,Positif,2
cepat banget,Positif,2
2005 enggak lagi mengantri ftv aga lama,Netral,1
sangat mudah dengan pasar online radio swasta mudah sim dan juga ganti plat tahun baru online juga bismillah menuju transparansi kepolisian pasti bisa naik apalagi kalau ada kenaikan masyarkt kalau setuju kok mudah tidak pengiriman surat diperbaiki,Negatif,0
sangat praktis pokoknya manta,Positif,2
pelayanan al saji,Negatif,0
aplikasi sangat membantu proses mudah cepat sampenya,Positif,2
memudahkan dalam pembayaran,Netral,1
aah memudah kan sekal,Netral,1
jos sangat memudahkan untuk bayar pajak,Netral,1
bagus tapi jujur kurang simple begitu prosesnya tapi sudah bagus banget sih,Positif,2
terbaik simple alhamdulillah semoga berkah,Positif,2
enggak bisa daftar dan login masuk min lagi pemeliharaankah,Negatif,0
sudah 4 bintang jadi jaya bintang baru tahun ini aplikasi enggak bisa dipakai jatuh tempo sekarang jadi juni [UNK] enggak bisa bayar habis enggak kayak [UNK] baru jadi jaya terima ini mengecewakan jika terlambat gegar aplikasi dede tampil layanan tidak tersedia,Negatif,0
alhamdulillah terpercaya lewat pos kirim kerumah durasi hari yang biasa terima kasih signal enggak mengantri enggak ribet tinggal tunggu manis dirumah,Negatif,0
alhamdulillah prosesnya aman,Positif,2
prosesnya cepat hari selesai,Positif,2
mantap signal jadi enggak susah mengantri urus stnk,Negatif,0
2006 produksi 001 ok lah,Negatif,0
pembayaran selalu gagal mungkin ada solisinya padahal di tahun sebelumnya aman,Negatif,0
kenapa kita sering masuk no band dan terdaftar terus waktu begitu saja kok sekarang ribet banget,Negatif,0
terima kasih untuk aplikasinya,Positif,2
saja dk · mau bisa pajak yang kedua transaksi susah amat masuknya,Negatif,0
terus lancar mudah uang sampai paketnya bayar saja pak mulya mau saja pembayaran biaya bisa hasilnya tapi tidak,Negatif,0
apk signal memudahkan hanya saja pengiriman expedisi agak lama,Netral,1
pas 1 bayar 2 bisa kode bayar red error dulu dg bangking,Negatif,0
mantap,Positif,2
bagus yang tidak ada waktu bisa gunakan app ini tanpa menunggu antrian hanya pembayaran pajak tahunan yang tahunan wajib ke kantor samsat hanya pengiriman e tbpkp lama minggu lebih yang hanya kota,Positif,2
sudah beberapa kali pajak lewat aplikasi signal sangat membantu sekal,Positif,2
bagus dan simpel,Positif,2
saya belum punya kendaraan tapi rencana membuat sim ada buat membantu orang yang memerlukan karena direncanakan mau bawa ambulans desa karena dahulu pernah bawa mobil untuk mengangkat material rsud pln sekitar tahun dan karena sim sudah mati jadi saya off nyopiran tapi kini untuk ambulans desa hati saya ingin membantu yang memerlukan itu saja sim yang dibutuhkan sim sih dan sim mobil,Positif,2
akan selesai karena samsat nya dan nya kurir lama untuk pelayanan nya,Netral,1
mempermudah seseorang membayar pajak tambahan,Netral,1
cara mudah membayar pajak kendaraan,Positif,2
verifikasi terakhir,Negatif,0
pajak harus tepat waktu hampir mau minggu baru sampai,Netral,1
aplikasi jelek saya cuma bisa mendaftarkan kendaraan saya di mobile agent dan sedang berlatih tinggal di tempat,Negatif,0
saran untuk menambah layanan seperti perpanjangan stnk dan mutasi dalam satu wilayah,Netral,1
aplikasi sengaja tidak dipermudah biar tetap bayar bayar bayar ke kantor samsat teknologi ada untuk mempermudah bukan tetap datang ke kantor,Netral,1
mantap cepat dan tepat tanpa pungli lagi,Positif,2
mau daftar biaya untuk bayar pajak hingga waktu itu masih gagal dengan alasan itu selfie tidak sesai dengan data tetap tapi dicoba berkali kali tetap gagal aplikasi juga dilakukan setelah ternyata gagal,Negatif,0
padahal tahun 2004 yg bias mengurus perusahaan saja tidak tapi sekarang kenapa enggak bisa bayar online selalu gagal kecewa sekali padahal bisnis yg diperantauan,Negatif,0
tidak susahnya setengah mati aplikasi kayak berapa saja di bikin ita lol di verifikasi ktp ktp 9 tahun di bawa enggak sama sama wajah sama orang huh,Negatif,0
aplikasi yang sangat bermanfaat bayar pajak kendaraan jadi sangat mudah dan cepat,Positif,2
serba lengkap ya untuk pembayaran pajak sudah di lengkap kan tapi kalau plat nomor nya tidak bisa nomor nomor nya ya terima lagi,Negatif,0
tolong untuk verifikasi di perbaiki lagi karena saya dulu pernah dapat tetap nomer sudah hangus terus ganti nomer mau verifikasi tidak bisa karena sudah pernah mendaftar,Negatif,0
susah mau pembayaran,Negatif,0
cepat hanya 2 dimana bank baru yang livina sempat enggak bisa ganti dengan bri maria siena yaitu berhasil,Negatif,0
bayar pajak kendaraan jadi mudah cukup dari rumah satu hari paket sampai,Positif,2
apk enggak jelas untuk verifikasi desa kagak [UNK] masa depan,Netral,1
pertama kali bayar pajak sepeda motor plat dk via aplikasi ini awalnya ragu tapi ternyata sukses dan dokumen pajak terkirim sampai kerumah semoga dapat dipertahankan demi kemudahan warga membayar pajak kendaraan,Positif,2
lancar,Positif,2
mantap mempermudah dalam melakukan pembayaran pajak enggak perlu datang langsung,Positif,2
alhamdulillah enggak bilang kerja samsat buat semua tenaga motor sangat banyak buat pekerja malas malas bisa juga tugasnya minta kasih semuanya,Negatif,0
begitu lama prosesnya seminggu bahkan 1 hari saran saja sih bisa ada pilihan untuk cuci dokumen pakai gosend instan atau jadi buat mungkin lebih work itu sih mau orangnya cuman expedisi kalo pos prosesnya baru,Netral,1
pengurusan pembayaran ke lancar sangat bisa dipercaya thanx,Positif,2
untuk proses sampai pengiriman butuh waktu kurang lebih hari mudah bisa dipersingkat waktunya,Positif,2
semakin maju dan mempermudah pelaksanaan enggak ribet saat dilokasi,Negatif,0
aplikasi enggak jelas daftar saja menyusahkan,Netral,1
proses cepat pengiriman cepat sampai rumah,Positif,2
luas banget kulon dan,Netral,1
buat daftar kendaraan saja susah banget data sudah di memasuki tapi katanya data sudah ada tapi pas mau perpanjang malah suruh daftar lagi apk sialan,Negatif,0
makan danngabikin makanan jadi,Negatif,0
mudah dan cepat,Positif,2
buat apa ada pilihan kendaraan yang dimiliki keluarga satu kakak tapi selalu gagal ketika mau mendaftarkan kendaraan,Negatif,0
pengiriman dari kantor pos nya terlalu lama saya bayar tanggal juni baru sampai tanggal juli mohon di perhatikan lagi pengiriman nya terima kasih,Positif,2
caroline,Netral,1
terima kasih atas pelayanannya saya sangat puas hemat waktu dan tenaga,Positif,2
sangat puas tanpa ribet ribet pergi ke samsat daftarnya juga mudah,Negatif,0
cocok buat orang yang sibuk bayar lewat online di antar pula,Netral,1
orang bukti kalau pas benar fisik enggak mau datang ambil 2 langsung dari pembayaran sampai diterima nanti fisiknya sudah 2,Negatif,0
cepat dan amanah terima kasih signal porli susah mempermudah untuk bayar pajak,Negatif,0
verifikasi gagal terus akhirnya uninstall bayar di alfa malah enggak ribet ini app bukan mempermudah tapi bikin makin sulit padahal ini bayar bukan meminta sumbangan heran sama konoha ini,Negatif,0
mempermudah mau bayar pajak enggak usah datang ke tempat,Netral,1
akan tetap mau daftar enggak itu seseorang padahal data diri itu benar apalagi daftar baca saja enggak ada orangnya,Negatif,0
sangat memuaskan,Netral,1
baru pertama kali bayar pakai apl signal berhasil apakah stnk bisa cetak via aplikasi juga,Netral,1
nya baik di tingkatkan lagi karena lu pada respon dari nya karena,Netral,1
jelek,Negatif,0
proses cepat alhamdulillah,Positif,2
diproduksi foto gagal produksi,Negatif,0
ok,Netral,1
dan penerbitannya,Netral,1
wan,Netral,1
ini aplikasi bagaimana ya siapa mau foto palsu ktp buat namanya saja bisa sampai budek juga enggak yang bisa tolong programer pembuat aplikasinya tanpa refisi ulang buat aplikasinya kalau ingin ambil kerja di persulit,Negatif,0
dengan data apliksinya error terjadi,Negatif,0
setelah membayar pajak paling lama waktu seseorang bisa mengajukan keputusan dan pilihan pajak bukan dikirim terima kasih,Netral,1
agak bingung di banyak penggunaan karena agak bermasalah tapi detail tersebut memudahkan anda buat bayar pajak dengan teliti,Negatif,0
prosesnya mungkin terlambat sih tapi bagus tidak jadi akhirnya bisa datang ke sana,Negatif,0
sangat membantu untuk aku yang malas ke samsat heheh sat set pokoknya,Positif,2
sangat membantu dengan adanya apk signal ini,Positif,2
minggu baru beres plat subang,Netral,1
saya pribadi mengucapkan terima kasih kepada bapak ibu kapolda metro jaya aplikasi signal ini benar benar bermanfaat dan sangat mudah diakses secara aplikasi user friendly membantu sekal bagi para pekerja yang aktifitasnya khususnya di dki jakarta yang sangat padat dan ramai terima kasih bapak ibu aplikasi signal dan yang pembuatnya aplikasi signal membuat mudah segala urusan saya saya kasih kalau ada saya buat aplikasi ini tetap semakin berkembang kepada bapak ibu polisi semangat,Positif,2
dan aman,Netral,1
kalo bilang membayar pajak akan membantu dia secara private tapi sayang nya susah kan kalau kirim nya sudah kirim email saja kalau berlangganan juga,Negatif,0
sangat membantu,Positif,2
mempermudah bagi yang enggak ada waktu,Netral,1
mempunyai tugas bayar iklan online yang mengesankan sekal tangani aplikasi ini goodjobs,Netral,1
sangat memudahkan proses pembayaran pajak kendaraan dan pengecekan lain nya,Netral,1
prosesnya cepat,Positif,2
oke,Netral,1
aplikasi banyak lading nya harus diperbaiki lagi,Netral,1
manta hanya perlu sedikit mau repot ke depannya hanya mengurusi perpanjang pemerintahan,Netral,1
starbucks store bisa berlangganan pajak online,Netral,1
sangat banyak sekali kemarin saya tinggalkan aplikasi 4 tahun ini mau pakai tapi lupa istilah sandi sudah datang otp tapi tetap enggak bisa simpan jangan dulu sekali bagaimana ya,Negatif,0
sangat membatu dan mudahan tbpkp nya cspet nyampainya,Netral,1
ok,Netral,1
sangat membantu,Positif,2
apk enggak bisa bilang file apa di file apa nya enggak bisa di buat bisa otomatis juga dimana bisa pantesan saja karena kan yang bayar manual ketimbang online,Negatif,0
sudah normal 1988,Netral,1
2 bulan lebih lengkap karya belum dikirim,Netral,1
sejauh ini sudah merasakan manfaatnya sudah kali perpanjang pajak lewat aplikasi dan mempersingkat waktu,Netral,1
ok,Netral,1
dengan mobile sudah jumpa nomor kendaraannya yang mau membayar tidak bisa,Negatif,0
minggu enggak sempe suka resi mulai rela menikmati desa hedeh,Negatif,0
sangat bermanfaat dan membantu semoga lebih sukses selalu,Positif,2
aplikasi macam apa ini enggak bisa didaftar padahal semua sesai dengan ktp,Negatif,0
memudahkan urusan bayar pajak kendaraan,Netral,1
mantap terus bertraformasi dan berinovasi,Positif,2
untuk menghindari keterlambatan pembayaran pajak lebih bagus lagi kalau ada notifikasi apabila sudah mendekati waktu pembayaran pajak,Negatif,0
mudah cepat enggak perlu repot dokumen diantar kerumah mantap,Positif,2
gagal maka data error mulu jarang masuk jaringan padahal koneksi tidak troble maklum kalau saya sudah siap dalam kerja mesti ke samsat itu,Negatif,0
bayar pajak gampang dan tidak perlu ke samsat tinggal menunggu dirumah urusan bayar pajak selesai,Netral,1
tetapi dan pasti yg ada nya enggak perlu sedikit yg maju,Negatif,0
aplikasi dk jelas mau bayar pajak yang keempat kalinya suka bayar jitu,Negatif,0
aplikasi yang sangat berguna untuk masyarakat enggak ribet dan sat set bagi orang sibuk dan jauh dari kantor samsat memang sangat membantu sekal semoga pelayanan publik yang lain bisa meniru aplikasi ini,Negatif,0
sangat membantu terima kasih,Positif,2
lebih gampang dan cepat enggak mengantri,Positif,2
sangat membantu efisien dan efektif serta tracking transaksi yang transparan good banget bravo polri khususnya korps lalu lintas kepolisian republik indonesia,Positif,2
tidak bisa dilewati kendaraan kendaraan satu pun,Negatif,0
minus di waktunya saja sih karena cukup lama,Netral,1
bagus dan tepat waktu,Positif,2
aplikasi jelek saya kalau ingin mendaftarkan kendaraan saya chat general agent office sedang kita berada satu tempat,Negatif,0
cepat dan kebanyakan ribet terkirim pada alamat yang baru dengan cara,Negatif,0
bayar pajak jadi lebih mudah tinggal pakai hp selesai mantap pak polisi,Positif,2
mungkin saja susah banget sudah dapat kunjungi data sudah terverifikasi tetapi mau masuk enggak klik info asli jangan ada guna,Negatif,0
pendapatan tidak dapat dihitung buat perpanjang pajak kerugian,Negatif,0
mempermudah,Netral,1
mudah simple dan praktis,Positif,2
tetap membatu bagi kehidupan yang sudah sehat selalu merantau tanpa harus pulang kampung begitu memilih kendaraan,Netral,1
kita sudah berulang demi kali macet lagi pembayaran lagi padahal kalo sistem pembayaran sudah kasih kode sudah selesai tapi sayang terakhir kali ini sudah,Negatif,0
cepat mudah dan sangat membantu dan memang seperti ini seharusnya kalo sistem digital terima kasih,Positif,2
lamaa pengantaran nya padahal pakai express,Netral,1
kenapa dia selalu gagal membantah pembayaran padahal skandal pembayaran sempat muncul,Negatif,0
masa jabatan batam print bagaimana apa namanya sudah online pelayanan juga paling baik,Netral,1
mempermudah perpanjangan stnk tahunan,Netral,1
lengkong wan memudahkan,Netral,1
mudah cepat praktis sambil reban tau ada paket dari kantor pos,Positif,2
semua jadi serba mudah,Positif,2
·,Netral,1
sunshine,Negatif,0
bohong begitu semuanya bisa buat bayar jadi,Negatif,0
memudahkan,Netral,1
turut menghargai pembayaran pajak,Netral,1
s ra kenek mini,Netral,1
proses kilat lebih nyaman bayar pajak melalui signal tanpa perlu waktu lama untuk prosesnya walaupun dokumen agak lama tapi saya lebih senang lewat aplikasi signal ini pokoknya jos mantap,Positif,2
nya wisata saya tidak bisa memasukan nomer registrasi orang bermotor di desa kalian mohon tak terima bantuan,Negatif,0
000 sekal prosesnya menjadi lebih ya ）,Netral,1
mau daftar tapi sangat nik karena email tersebut terdaftar padahal sebelumnya belum pernah terlihat sama sekal di aplikasi signal mau coba sat ini email harus melihat nomor hp dan tidak bisa pakai email sedangkan nomor email tidak terdaftar email yang katanya sudah terdaftar tidak bisa jadi seperti aneh,Negatif,0
pengiriman juga agak luas,Negatif,0
adanya samsat online ini sangat membantu manta semoga di tingkat kan lagi yang pajak tahunan nya biar bisa online lagi nosin noka via foto,Positif,2
sangat mempermudah pembayaran pajak kendaraan online kalau bisa untuk pajak per tahunnya juga bisa online jadi bisa mempermudah karena tidak selalu kita ada waktu untuk datang langsung ke samsat untuk corporate apakah belum ada aplikasi tersendirinya ya sebab saya cek di signal enggak bisa juga mohon updatenya terima kasih,Negatif,0
mantap,Positif,2
ok membantu,Positif,2
cepat prosesnya tepat pengiriman nya,Positif,2
aplikasi yang telah bagus sangat membantu bagi orang yang jauh dari perusahaan serta yang sibuk bekerja susah meluangkan waktu prosesnya sangat mudah lebih cepat seperti hitungan hari pencarian sampai untuk yang dikirim ke rumah sangat efisien jadi enggak bakal telat bayar pajak kendaraan tahunan di app disini ada saat daftar akun ada kendala saat verifikasi wajah yang selalu gagal entah google yang membuat gagal semoga kedepannya sudah tidak ada kendala bagi akun mau buat akun,Negatif,0
saya daftar mau bayar pajak karena enggak ada waktu untuk datang ke kantor malah tidak bisa daftar,Negatif,0
mantap,Positif,2
keren parah yang sudah berhasil apk seperti ini membangun negara,Negatif,0
ok bagus,Positif,2
